GPSLat,GPSLon,GPSAlt,AmbTemp,CO2_ppm_zscore,CH4_ppb_zscore,CO_ppb_zscore,H2O_pct_zscore,NO_ppbv_zscore,NO2_ppbv_zscore,NOy_ppbv_zscore,O3_ppbv_zscore,NOx_ppbv_zscore,Ox_ppbv_zscore
38.549,-121.311,210.68,,,,2.2349319431424814,,-1.1917924483131805,-0.7142374065510286,-0.8033254280807638,0.586030831758766,-1.7370613656532852,0.5768298186148041
38.549,-121.312,215.75,,1.4593449129804184,2.286609243253204,,1.4934468394495246,-0.9072976295810161,1.3527084311396136,-1.0598738189039894,0.5908891663645318,-0.31902873047330144,0.6093373516322093
38.549,-121.312,216.63,,,,2.1664265307716306,,-0.11703424421389297,-0.9186606212676853,-0.8216503131395655,0.5423058203068699,-0.6194593735199081,0.5303470844871128
38.549,-121.313,219.44,,1.6355544466526182,,,1.5681482046661082,0.6837659862914585,-1.8499219327546783,0.07626905474172388,0.6191282362605495,-0.1988564732546587,0.5950583418021349
38.549,-121.314,224.88,,,2.41347695345519,2.326272492970282,,0.14638688424181476,-1.9862040758991164,-0.07033002572869074,0.6142699016547816,-0.883838339400922,0.5880707412469908
38.548,-121.314,227.31,,1.6566393481176653,,,1.6143919069430401,-2.1506453558919563,-0.032826690828838774,0.47941652603536417,0.5395730070911263,-2.4701121346870054,0.5394613460807781
38.548,-121.315,234.09,,,2.418875579421233,,,-0.49636066919011207,0.421447119652621,-0.6933761177279527,0.5243907114481053,-0.3550804076388942,0.5303470844871128
38.548,-121.315,235.99,,,,2.3291268851524003,1.621506322677953,-0.7070975719546783,0.875720930134081,0.5069038536235669,0.5960511468831594,-0.34306318191702995,0.6084259254728427
38.548,-121.317,242.57,,1.6762181851923534,2.4296728313533134,,,-0.8967607844427878,-0.10096776240105777,-0.6842136751985518,0.6801610647454887,-1.064096725228886,0.6795171659034307
38.548,-121.317,245.95,,,,2.5060992004437654,,0.35712378700638087,-0.7823784781232476,-1.1973104568450028,0.5951402091445782,-0.0065808617048304235,0.5847288453293148
38.548,-121.317,248.17,,1.6295301890911724,2.5133515338269667,,1.6321779462803223,-1.1180345323455823,-0.6460963349788096,-0.20776666366970442,0.4260094356813386,-1.6168891084346424,0.4176340494454542
38.548,-121.318,252.86,,,,2.3976322975232516,,-0.1486447796285779,0.557729262797059,-0.8674625257865701,0.482183929560512,0.1135913955138123,0.48994052475519684
38.548,-121.319,255.92,,1.6445908329947825,,,1.6392923620152349,-0.7281712622311348,0.625870334369278,-0.48263993955173173,0.4144708909926446,-0.48726989057940123,0.4234064151214437
38.548,-121.32,261.09,,,2.5862329843685274,,,-0.8756870941663312,0.671297715417424,0.18621836509453493,0.3537417084205651,-0.6434938249636367,0.3629484798834639
38.548,-121.32,262.99,,,,2.197824844774937,1.5325761259915447,-1.1496450677602672,-1.0322290738880504,0.31449256050614754,0.43360058350284797,-1.857233622871928,0.4200645192037657
38.548,-121.321,268.52,,1.2093382241805533,1.6954596999716127,,,-0.22240269559617606,-0.7369510970751016,0.021294399565318478,0.4973662252035308,-0.6434938249636367,0.4878138637166756
38.548,-121.322,269.36,,,,1.9837454311160285,,-0.43313959836074223,-0.6006689539306636,-0.38185307172832167,0.7402829554918444,-0.8117349850697365,0.7326836918664782
38.548,-121.322,273.07,,1.4201872388310424,1.9410971814265232,,1.436531513570223,,,,,,
38.548,-121.323,276.66,,,,1.946638332748484,,,,,,,
38.548,-121.324,280.15,,0.6792035587735943,,,1.2835715752696009,,,,,,
38.548,-121.325,283.72,,,1.2068840500448226,,,,,,,,
38.548,-121.325,286.62,,,,1.986599823298147,1.2978004067394262,,,,,,
38.548,-121.326,290.01,,1.4457903334671762,2.33519687694758,,,,,,,,
38.548,-121.326,290.75,,,,2.1949704525928184,,,,,,,
38.548,-121.327,294.39,,0.5617305363254668,0.5536503081537507,,1.2871287831370575,,,,,,
38.548,-121.328,298.25,,,,1.3643423275962538,,,,,,,
